""AddressID"",""AddressLine1"",""AddressLine2"",""City"",""StateProvinceID"",""PostalCode"",""rowguid"",""ModifiedDate""
""22526"",""8085 Sunnyvale Avenue"","""",""Colma"",""9"",""94014"",""{C770120B-1B33-4C67-B772-6BED713D29E6}"",""2014-01-02 00:00:00""
""22535"",""6457 Appalachian Dr."","""",""Colma"",""9"",""94014"",""{5B92F200-F5E4-48D5-863A-F91EDA4DF6BC}"",""2013-08-09 00:00:00""
""22588"",""1162 Relief Valley Ct"","""",""Colma"",""9"",""94014"",""{3F383858-D4D8-4300-919B-04B8029DF6B5}"",""2013-01-10 00:00:00""
""23094"",""9050 Blue Ridge Dr."","""",""Colma"",""9"",""94014"",""{4A42AE19-73FB-4FAA-80AB-A55B97009BAB}"",""2014-06-05 00:00:00""
""25492"",""3384 Malibu Place"","""",""Colma"",""9"",""94014"",""{1DCB3F4F-B93C-4828-A928-DC50B4518FF6}"",""2013-12-08 00:00:00""
""26056"",""4945 Pennsylvania Blvd."","""",""Colma"",""9"",""94014"",""{6E43A9CA-7338-4B3E-B634-64EAB96DD5FF}"",""2013-11-12 00:00:00""
""26067"",""8743 Roanwood Way"","""",""Colma"",""9"",""94014"",""{CD351A93-52F4-46C1-85D5-6F0664E65705}"",""2013-08-12 00:00:00""
""26293"",""9077 Windsor Drive"","""",""Colma"",""9"",""94014"",""{BE57FF2F-0E74-4791-B9E0-8E0659DC4FCE}"",""2014-08-03 00:00:00""
""26573"",""6749 East 23rd Street"","""",""Colma"",""9"",""94014"",""{4AEA5498-D460-490C-929E-A349EBB54DDA}"",""2014-09-06 00:00:00""
""28645"",""2685 Keith Court"","""",""Colma"",""9"",""94014"",""{A39B6FA5-763F-46E5-A2DC-3C54F01E21DE}"",""2014-01-03 00:00:00""
