""AddressID"",""AddressLine1"",""AddressLine2"",""City"",""StateProvinceID"",""PostalCode"",""rowguid"",""ModifiedDate""
""1"",""1970 Napa Ct."","""",""Bothell"",""79"",""98011"",""{9AADCB0D-36CF-483F-84D8-585C2D4EC6E9}"",""2007-04-12 00:00:00""
""3"",""7484 Roundtree Drive"","""",""Bothell"",""79"",""98011"",""{4C506923-6D1B-452C-A07C-BAA6F5B142A4}"",""2013-07-03 00:00:00""
""4"",""9539 Glenside Dr"","""",""Bothell"",""79"",""98011"",""{E5946C78-4BCC-477F-9FA1-CC09DE16A880}"",""2009-03-02 00:00:00""
""7"",""5672 Hale Dr."","""",""Bothell"",""79"",""98011"",""{0175A174-6C34-4D41-B3C1-4419CD6A0446}"",""2009-11-12 00:00:00""
""10"",""250 Race Court"","""",""Bothell"",""79"",""98011"",""{0B6B739D-8EB6-4378-8D55-FE196AF34C04}"",""2008-02-12 00:00:00""
""12"",""5415 San Gabriel Dr."","""",""Bothell"",""79"",""98011"",""{1C2C9CFE-AB9F-4F96-8E1F-D9666B6F7F22}"",""2013-05-01 00:00:00""
""14"",""8157 W. Book"","""",""Bothell"",""79"",""98011"",""{A1C658AE-C553-4A9D-A081-A550D39B64DF}"",""2009-04-12 00:00:00""
""16"",""40 Ellis St."","""",""Bothell"",""79"",""98011"",""{0312B65F-CB60-4396-9EC7-A78B2EAC1A1B}"",""2012-09-11 00:00:00""
""17"",""6696 Anchor Drive"","""",""Bothell"",""79"",""98011"",""{CE9B3B47-9267-4727-BCD2-687C47482C06}"",""2013-08-11 00:00:00""
""19"",""3148 Rose Street"","""",""Bothell"",""79"",""98011"",""{6B7ACB0F-CDBF-44FD-BA14-EB08A56C1582}"",""2014-03-04 00:00:00""
""20"",""6872 Thornwood Dr."","""",""Bothell"",""79"",""98011"",""{4B1F1ED4-97A4-43FD-BB1E-9E05817718E8}"",""2009-05-02 00:00:00""
""21"",""5747 Shirley Drive"","""",""Bothell"",""79"",""98011"",""{D83299D7-A0F4-4055-9BD5-5908E245D757}"",""2009-11-02 00:00:00""
