""AddressID"",""AddressLine1"",""AddressLine2"",""City"",""StateProvinceID"",""PostalCode"",""rowguid"",""ModifiedDate""
""22496"",""2837 Redhead Way"","""",""Issaquah"",""79"",""98027"",""{62FB4F83-895F-4F6A-9944-6F98581FA3D8}"",""2012-04-04 00:00:00""
""22889"",""3283 Terra Granda"","""",""Issaquah"",""79"",""98027"",""{23AB6A90-6EEA-449E-BF54-7E5C601A311C}"",""2013-10-10 00:00:00""
""25422"",""8537 Bayview Circle"","""",""Issaquah"",""79"",""98027"",""{C86B0EB9-14BD-4A65-96D9-4F7E899F2405}"",""2014-06-02 00:00:00""
""25646"",""6139 Deermeadow Way"","""",""Issaquah"",""79"",""98027"",""{18835FB9-28AB-4455-BF00-2D54D06CB246}"",""2014-07-03 00:00:00""
""25880"",""9890 Bloching Circle"","""",""Issaquah"",""79"",""98027"",""{EF7EC24B-72B6-4C63-AB21-A1F80B7ADED1}"",""2014-08-04 00:00:00""
""25992"",""7245 Freya Way"","""",""Issaquah"",""79"",""98027"",""{6B24C335-E388-4150-A8D0-13C76122F965}"",""2014-08-05 00:00:00""
""26082"",""4248 Semillon Circle"","""",""Issaquah"",""79"",""98027"",""{8C80815C-2344-444D-8027-67FF6258DB34}"",""2013-02-08 00:00:00""
""26378"",""7500 Sheffield Place"","""",""Issaquah"",""79"",""98027"",""{90BD61FC-3084-4B58-AEFA-72E2DC9F253A}"",""2013-07-11 00:00:00""
""26805"",""1028 Indigo Ct."","""",""Issaquah"",""79"",""98027"",""{03671721-695A-4D2E-9F1F-82CDD6BC260A}"",""2013-10-09 00:00:00""
""28763"",""3071 Asilomar"","""",""Issaquah"",""79"",""98027"",""{EBBB900F-40D3-4F49-9A6C-D66E5181D53D}"",""2012-07-07 00:00:00""
""28945"",""9183 Via Del Sol"","""",""Issaquah"",""79"",""98027"",""{581E9F9C-E03A-440F-8731-83C9FD2AD265}"",""2013-09-06 00:00:00""
